問題番号,章,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説まとめ
14,第8章：腫瘍,腫瘍について誤っている組合せはどれか,上皮性悪性腫瘍－印環細胞癌,上皮性良性腫瘍－移行上皮癌,非上皮性悪性腫瘍－白血病,非上皮性良性腫瘍－神経鞘腫,2,移行上皮癌は悪性であり、良性との組合せは誤り。他は正しい。
15,第8章：腫瘍,前癌病変でないのはどれか,乳腺炎,胃の腸上皮化生,大腸腺腫,子宮頚部異形成,1,胃腸上皮化生・大腸腺腫・子宮頚部異形成は前癌病変。乳腺炎は該当しない。
16,第8章：腫瘍,腫瘍が転移しにくい器官はどれか,肝臓,肺臓,骨髄,心臓,4,腫瘍は肝臓・肺・骨髄などには転移しやすく、心臓や脾臓などには転移しにくい。
17,第8章：腫瘍,胃癌の転移と関係ないのはどれか,クルーケンベルグ,リード・ステルンベルグ,シュニッツラー,ウィルヒョウ,2,クルーケンベルグ（卵巣）、シュニッツラー（ダグラス窩）、ウィルヒョウ（左鎖骨上）は胃癌転移。リード・ステルンベルグはホジキン病。
18,第8章：腫瘍,アスベスト暴露との関連性が高いのはどれか,皮膚癌,膀胱癌,白血病,中皮腫,4,アスベスト（石綿）は中皮腫との関連が強い。
19,第8章：腫瘍,胃癌の播種性転移はどれか,多数の肺転移,癌性腹膜炎,多数のリンパ節転移,巨大肝転移,2,播種性転移は腹腔内に広がり癌性腹膜炎を起こす。
20,第8章：腫瘍,誤っている組合せはどれか,成人T細胞白血病－EBウイルス,皮膚癌－コールタール,甲状腺癌－原爆被爆,肝臓癌－トロトラスト,1,成人T細胞白血病はHTLV-1が原因。EBウイルスはバーキットリンパ腫など。
21,第8章：腫瘍,放射性ヨウ素の被爆によって最も生じやすい腫瘍はどれか,胃癌,肺癌,前立腺癌,甲状腺癌,4,放射性ヨウ素は甲状腺に取り込まれるため、甲状腺癌の発生と強く関連する。
22,第8章：腫瘍,扁平上皮癌が好発するのはどれか,食道,胃,小腸,大腸,1,扁平上皮癌は食道・子宮頸部・皮膚などの扁平上皮に好発する。
23,第8章：腫瘍,乳癌の確定診断に最も重要なのはどれか,触診,超音波検査,エックス線検査,生検,4,確定診断には組織学的診断（生検）が必須。
24,第8章：腫瘍,癌が最も転移しやすい臓器はどれか,心臓,脾臓,肝臓,腎臓,3,血行性転移は肝臓・肺などに多く、特に肝臓は転移しやすい臓器。
25,第8章：腫瘍,上皮性腫瘍はどれか,乳頭腫,線維腫,膠芽腫,白血病,1,乳頭腫は上皮性良性腫瘍。線維腫は非上皮良性、膠芽腫・白血病は悪性腫瘍。
26,第8章：腫瘍,生命予後が良好なのはどれか,線維腫,中皮腫,膠芽腫,白血病,1,線維腫は良性腫瘍で予後良好。他の中皮腫・膠芽腫・白血病は悪性で予後不良。
27,第8章：腫瘍,扁平上皮癌が最も発生しやすいのはどれか,舌,胃,胆嚢,膵臓,1,扁平上皮癌は口腔・食道・皮膚などの扁平上皮に好発し、舌も含まれる。
28,第8章：腫瘍,腺癌の発生頻度が最も高いのはどれか,皮膚,舌,子宮頚部,膵臓,4,腺癌は膵臓・胃・大腸などの腺組織に多く発生する。
29,第8章：腫瘍,男性に比べて女性に高頻度に発生するのはどれか,膵癌,食道癌,大腸癌,甲状腺癌,4,甲状腺癌は女性に多く発生する傾向がある。
30,第8章：腫瘍,アスベスト暴露との関連性が高いのはどれか,皮膚癌,膀胱癌,白血病,中皮腫,4,アスベスト（石綿）は中皮腫の原因として有名。
31,第8章：腫瘍,2019年の我が国におけるがん死亡数が最も多いのはどれか,肺がん,肝臓がん,膵臓がん,大腸がん,1,2019年の日本のがん死亡数では肺がんが最も多い。
32,第8章：腫瘍,腫瘍と発がんに関連する微生物の組合せで誤っているのはどれか,子宮頸癌－HPV,肝細胞癌－サイトメガロウイルス,バーキットリンパ腫－EBウイルス,胃癌－ヘリコバクター・ピロリ,2,肝細胞癌はB型・C型肝炎ウイルスが主因であり、サイトメガロウイルスではない。
33,第8章：腫瘍,HPV感染について最も適切なのはどれか,子宮内膜癌との関連が深い,ワクチンは予防できない,男性には感染しない,多くの場合自然に排除される,4,HPVは多くの場合自然に排除されるが、一部が持続感染して癌化に関与する。
34,第8章：腫瘍,大腸癌のTNM分類で必要な情報はどれか,組織型,遠隔転移の有無,静脈侵襲の有無,腫瘍の部位,2,TNM分類は腫瘍の進展（T）・リンパ節転移（N）・遠隔転移（M）で評価する。
35,第8章：腫瘍,悪性腫瘍の特徴について正しい記述はどれか,発育形式ー浸潤性,境界ー鮮明,異型性ー弱い,発育速度ー遅い,1,悪性腫瘍は浸潤性発育・境界不明瞭・異型性強・発育速度速いのが特徴。
36,第8章：腫瘍,上皮性良性腫瘍に分類されるのはどれか,扁平上皮癌,線維腫,骨肉腫,乳頭腫,4,乳頭腫は上皮性良性腫瘍。線維腫は非上皮良性、骨肉腫・扁平上皮癌は悪性。
37,第8章：腫瘍,血行性転移が最もみられやすい臓器はどれか,腎臓,肝臓,心臓,脾臓,2,血行性転移は肝臓・肺・骨髄に多くみられる。
38,第8章：腫瘍,HTLV-1によって起こる腫瘍はどれか,慢性骨髄性白血病,肝細胞癌,成人T細胞白血病,バーキットリンパ腫,3,成人T細胞白血病はHTLV-1が原因で発生する。
39,第8章：腫瘍,腺癌の好発部位として適切でないのはどれか,気管支,大腸,腎臓,子宮体部,3,腺癌は気管支・大腸・子宮体部などに多く、腎臓は典型ではない。
40,第8章：腫瘍,遺伝的素因でない疾患はどれか,多発性内分泌腺腫,神経線維腫症,色素性乾皮症,悪性中皮腫,4,悪性中皮腫はアスベスト曝露が原因であり遺伝性ではない。
41,第8章：腫瘍,平滑筋腫が分類されるのはどれか,上皮性良性腫瘍,上皮性悪性腫瘍,非上皮性良性腫瘍,非上皮性悪性腫瘍,3,平滑筋腫は非上皮性良性腫瘍に分類される。
42,第8章：腫瘍,腫瘍マーカーで誤っている組合せはどれか,肝細胞癌―AFP,膵癌―CA19-9,大腸癌―hCG,前立腺癌―PSA,3,hCGは絨毛癌などで用いられ、大腸癌ではない。
43,第8章：腫瘍,ウィルヒョウ転移がみられる部位はどこか,卵巣,副腎,ダグラス窩,左鎖骨リンパ節,4,ウィルヒョウ転移はリンパ行性で左鎖骨上リンパ節にみられる。
44,第8章：腫瘍,腫瘍とホルモンの組合せで関係性があるのはどれか,肺癌―性ホルモン,軟部腫瘍―インスリン,副甲状腺腫―下垂体ホルモン,腎癌―ACTH,2,インスリンは軟部腫瘍に関連（他は対応不適切）。
45,第9章：免疫異常・アレルギー,体液性免疫に関与するリンパ球はどれか,B細胞,好中球,単球,T細胞,1,体液性免疫は抗体による免疫であり、B細胞が関与し形質細胞へ分化して抗体を産生する。
46,第9章：免疫異常・アレルギー,マクロファージの役割で正しいのはどれか,自己・非自己の認識,抗原情報の提示,免疫グロブリンの産生,リンフォカインの放出,2,マクロファージは貪食と抗原提示を行い、免疫反応の仲介役となる。
47,第9章：免疫異常・アレルギー,免疫反応について誤っている記述はどれか,B細胞は液性免疫に関与する,B細胞は形質細胞に分化する,キラーT細胞は感染細胞を破壊する,ヘルパーT細胞は異物を貪食する,4,ヘルパーT細胞は貪食ではなく免疫調節（サイトカイン分泌など）を行う。
48,第9章：免疫異常・アレルギー,抗体を産生する細胞はどれか,形質細胞,樹状細胞,T細胞,マクロファージ,1,形質細胞が免疫グロブリン（抗体）を産生する細胞である。
49,第9章：免疫異常・アレルギー,貪食を行う細胞はどれか（2つ）,単球,赤血球,好中球,Tリンパ球,1・3,単球（マクロファージ）と好中球が代表的な食作用を持つ細胞。
50,第9章：免疫異常・アレルギー,ツベルクリン反応に直接関与しないのはどれか,Tリンパ球,マクロファージ,免疫グロブリン,結核菌体成分,3,ツベルクリン反応は細胞性免疫（Ⅳ型）であり、抗体（免疫グロブリン）は関与しない。
51,第9章：免疫異常・アレルギー,アレルギー反応の分類と関連疾患で誤りはどれか,Ⅰ型―アレルギー性鼻炎,Ⅱ型―グッドパスチャー症候群,Ⅲ型―急性糸球体腎炎,Ⅳ型―気管支喘息,4,Ⅳ型は遅延型（ツベルクリンなど）であり、喘息はⅠ型アレルギー。
52,第9章：免疫異常・アレルギー,ヒスタミンを遊離する細胞はどれか,単球,肥満細胞,好中球,リンパ球,2,肥満細胞はIgE刺激によりヒスタミンを放出する。
53,第9章：免疫異常・アレルギー,胎盤を通過する免疫グロブリンはどれか,IgA,IgE,IgG,IgM,3,IgGのみ胎盤通過性があり、母子免疫を担う。
54,第9章：免疫異常・アレルギー,正しい組合せはどれか,好酸球－アレルギー性疾患,好塩基球－IgG,好中球－抗体産生,リンパ球－異物貪食,1,好酸球はⅠ型アレルギーに関与。他の組合せは機能が誤っている。
55,第9章：免疫異常・アレルギー,自己免疫疾患でないのはどれか,関節リウマチ,シェーグレン症候群,ターナー症候群,全身性エリテマトーデス,3,ターナー症候群は染色体異常による先天性疾患であり自己免疫疾患ではない。
56,第9章：免疫異常・アレルギー,自己免疫疾患と障害臓器の組合せで誤りはどれか,橋本病―甲状腺,悪性貧血―胃,進行性全身性硬化症―中枢神経,全身性エリテマトーデス―腎臓,3,進行性全身性硬化症は皮膚や内臓が主であり中枢神経ではない。
57,第9章：免疫異常・アレルギー,HIVが主に感染する免疫細胞はどれか,B細胞,ヘルパーT細胞,細胞傷害性T細胞,NK細胞,2,HIVはCD4陽性T細胞（ヘルパーT細胞）に感染し免疫低下を起こす。
58,第9章：免疫異常・アレルギー,自己免疫疾患と自己抗体の組合せで正しいのはどれか,全身性エリテマトーデス―抗核抗体,橋本病―抗基底膜抗体,糸球体腎炎―抗マイクロゾーム抗体,関節リウマチ―抗ミトコンドリア抗体,1,抗核抗体はSLEに特徴的。他の組合せは対応が異なる。
59,第9章：免疫異常・アレルギー,後天性免疫不全症候群（AIDS）で誤っているのはどれか,HIV感染で起こる,CD8陽性T細胞が障害される,日和見感染を起こす,悪性リンパ腫を合併する,2,AIDSではCD4陽性T細胞が主に障害されるためCD8ではない。
60,第9章：免疫異常・アレルギー,誤っている組合せはどれか,ツベルクリン反応―結核,拒絶反応―異型臓器移植,免疫グロブリン―細胞性免疫,自己免疫疾患―橋本病,3,免疫グロブリンは体液性免疫で働くため細胞性免疫との組合せは誤り。
61,第9章：免疫異常・アレルギー,免疫について誤っている組合せはどれか,免疫学的記憶―二次反応,細胞性免疫―結核,先天性免疫不全―エイズ,Ⅰ型アレルギー―気管支喘息,3,エイズは後天性免疫不全であり先天性ではない。
62,第9章：免疫異常・アレルギー,体液性免疫に関与するリンパ球はどれか,B細胞,好中球,単球,T細胞,1,B細胞は抗体産生（液性免疫）を担う。
63,第9章：免疫異常・アレルギー,アレルギー反応の型で正しい組合せはどれか,Ⅰ型―アナフィラキシー型,Ⅱ型―アルサス型,Ⅲ型―細胞免疫型,Ⅳ型―細胞障害型,1,Ⅰ型は即時型（アナフィラキシー）。Ⅱ型は細胞障害型、Ⅲ型は免疫複合体型、Ⅳ型は遅延型。
64,第9章：免疫異常・アレルギー,ヒスタミンを遊離する細胞はどれか,単球,肥満細胞,好中球,リンパ球,2,肥満細胞はIgE刺激でヒスタミンを放出しアレルギー反応を起こす。
65,第9章：免疫異常・アレルギー,免疫とアレルギーに共通しない記述はどれか,二度目の暴露で起こる,特定の抗原に反応する,リンパ球が主役である,死に至る現象である,4,免疫やアレルギーは生体防御反応であり必ずしも致死的ではないため「死に至る現象」は不適切。
66,第9章：免疫異常・アレルギー,マクロファージの役割で正しいのはどれか,自己・非自己の認識,抗原情報の提示,免疫グロブリンの産生,リンフォカインの放出,2,マクロファージは抗原提示細胞として免疫応答の調整に関与する。
67,第9章：免疫異常・アレルギー,免疫反応の特徴として適切でないのはどれか,自己と非自己の識別,抗原の記憶,主役はBリンパ球である,抗原抗体反応の特異性,3,免疫の主役はB細胞だけではなくT細胞も重要であり限定するのは誤り。
68,第9章：免疫異常・アレルギー,エイズについて正しい記述はどれか,飛沫感染する,病原体はヘルペスウイルスである,好中球の減少が主病変である,死因は日和見感染が主である,4,AIDSでは免疫低下により日和見感染が主な死因となる。
69,第9章：免疫異常・アレルギー,炎症担当細胞と分泌物の組合せで誤っているのはどれか,マスト細胞―ヒスタミン,好中球―リソソーム酵素,単球―免疫グロブリン,Tリンパ球―リンホカイン,3,免疫グロブリンは形質細胞（B細胞由来）が産生し単球は産生しない。
70,第9章：免疫異常・アレルギー,骨髄移植後のGVHDで宿主を攻撃する細胞はどれか,好中球,B細胞,T細胞,形質細胞,3,GVHDは移植されたT細胞が宿主組織を異物と認識して攻撃する現象。
71,第9章：免疫異常・アレルギー,アレルギー型と疾患の組合せで誤りはどれか,Ⅰ型―花粉症,Ⅱ型―蕁麻疹,Ⅲ型―糸球体腎炎,Ⅳ型―接触性皮膚炎,2,蕁麻疹はⅠ型（即時型）アレルギーでありⅡ型ではない。
72,第9章：免疫異常・アレルギー,自己免疫異常による疾患はどれか,全身性エリテマトーデス,AIDS,DIC,SIRS,1,SLEは代表的な自己免疫疾患。他は感染・炎症など別機序。
73,第9章：免疫異常・アレルギー,免疫反応について誤っているのはどれか,B細胞は液性免疫に関与する,B細胞は形質細胞に分化する,キラーT細胞は感染細胞を破壊する,ヘルパーT細胞は異物を貪食する,4,ヘルパーT細胞は調節役であり貪食は行わない。
74,第9章：免疫異常・アレルギー,健常成人で最も多い免疫グロブリンはどれか,IgA,IgD,IgE,IgG,4,IgGは血中で最も多く、主要な抗体として働く。
75,第9章：免疫異常・アレルギー,自己免疫疾患と障害臓器の組合せで誤っているのはどれか,橋本病―甲状腺,悪性貧血―胃,進行性全身性硬化症―中枢神経,全身性エリテマトーデス―腎臓,3,進行性全身性硬化症は皮膚や内臓障害が主体であり中枢神経ではない。
76,第9章：免疫異常・アレルギー,自己免疫疾患と合併病変の組合せで正しいのはどれか,全身性エリテマトーデス―糸球体腎炎,関節リウマチ―内臓悪性腫瘍,橋本病―アフタ性口内炎,進行性全身性硬化症―胆汁うっ滞,1,SLEは腎障害（糸球体腎炎）を高頻度に合併する。
77,第9章：免疫異常・アレルギー,アレルギー反応と疾患の組合せで正しいのはどれか,Ⅰ型―バセドウ病,Ⅱ型―アトピー性皮膚炎,Ⅲ型―全身性エリテマトーデス,Ⅴ型―グッドパスチャー症候群,3,SLEは免疫複合体型（Ⅲ型アレルギー）。他は分類が誤り。
78,第9章：免疫異常・アレルギー,初回免疫応答で最初に増加する免疫グロブリンはどれか,IgA,IgE,IgG,IgM,4,一次免疫応答ではIgMが最初に産生され、その後IgGに切り替わる。
79,第9章：免疫異常・アレルギー,胎盤を通過する免疫グロブリンはどれか,IgA,IgE,IgG,IgM,3,IgGのみ胎盤通過し、胎児に受動免疫を与える。
80,第9章：免疫異常・アレルギー,免疫グロブリンを産生する細胞はどれか。,Bリンパ球,Tリンパ球,樹状細胞,形質細胞,4,抗体はB細胞から分化した形質細胞が産生する。
81,第9章：免疫異常・アレルギー,細胞性免疫に関係がないのはどれか。,マクロファージ,Th1,制御性T細胞,Th2,4,Th1は細胞性免疫でTh2は体液性免疫に関与する。
82,第9章：免疫異常・アレルギー,グッドパスチャー病によって障害される臓器はどれか。,副腎皮質,甲状腺,筋,肺,4,抗基底膜抗体により肺と腎が障害される。
83,第9章：免疫異常・アレルギー,関節リウマチでみられないのはどれか。,増殖性滑膜炎,蝶形紅斑,パンヌス形成,関節破壊,2,蝶形紅斑は全身性エリテマトーデスの特徴。
84,第9章：免疫異常・アレルギー,後天性免疫不全症候群で減少する細胞はどれか。,ヘルパーT細胞,B細胞,形質細胞,NK細胞,1,HIVはCD4陽性T細胞を減少させる。
85,第9章：免疫異常・アレルギー,IgM抗体の特徴はどれか。,胎盤通過性がある,分泌液中に存在する,胎児期から産生される,主に二次応答で増加,3,IgMは一次免疫応答で最初に産生される抗体。
86,第9章：免疫異常・アレルギー,アレルギーと疾患の組合せで誤りはどれか。,Ⅰ型-喘息,Ⅱ型-溶血性貧血,Ⅲ型-SLE,Ⅳ型-アトピー性皮膚炎,4,アトピー性皮膚炎はⅠ型アレルギー。
87,第9章：免疫異常・アレルギー,自己免疫疾患でないのはどれか。,グッドパスチャー病,ハンチントン病,バセドウ病,アジソン病,2,ハンチントン病は遺伝性神経変性疾患。
88,第9章：免疫異常・アレルギー,Ⅰ型アレルギーで肥満細胞を抑制する細胞はどれか。,好中球,マクロファージ,B細胞,好酸球,4,好酸球はヒスタミン分解などで反応を抑える。
89,第9章：免疫異常・アレルギー,免疫反応で正しいのはどれか。,B細胞は補体産生,形質細胞は貪食,Th細胞は抗原提示細胞,NK細胞は感染細胞を破壊,4,NK細胞は自然免疫で感染細胞を破壊する。
90,第9章：免疫異常・アレルギー,Ⅲ型アレルギーによる疾患はどれか。,気管支喘息,花粉症,急性糸球体腎炎,甲状腺機能亢進症,3,免疫複合体沈着により糸球体腎炎が起こる。
91,第9章：免疫異常・アレルギー,HIVによる免疫不全はどれか。,無γグロブリン血症,重症複合免疫不全,AIDS,ディジョージ症候群,3,HIV感染によりAIDSを発症する。
92,第9章：免疫異常・アレルギー,免疫細胞で正しいのはどれか。,ヘルパーTは貪食,キラーTはBを助ける,B細胞は形質細胞になる,NKはヒスタミン分泌,3,B細胞は形質細胞に分化して抗体を産生する。
93,第9章：免疫異常・アレルギー,抗体を産生する細胞はどれか。,形質細胞,樹状細胞,T細胞,マクロファージ,1,抗体産生の主体は形質細胞。
94,第9章：免疫異常・アレルギー,自己免疫疾患と抗体で正しいのはどれか。,SLE-抗核抗体,橋本病-抗基底膜抗体,糸球体腎炎-抗ミクロソーム,関節リウマチ-抗ミトコンドリア,1,SLEでは抗核抗体が代表的。
95,第9章：免疫異常・アレルギー,急性糸球体腎炎はどの型か。,Ⅰ型,Ⅱ型,Ⅲ型,Ⅳ型,3,免疫複合体型でⅢ型アレルギーに分類される。
96,第9章：免疫異常・アレルギー,免疫細胞で正しいのはどれか。,単球は抗体産生,好酸球は抗原提示,好塩基球は形質細胞化,好中球は食作用,4,好中球は代表的な貪食細胞。
97,第9章：免疫異常・アレルギー,初感染で最初に増加する抗体はどれか。,IgA,IgE,IgG,IgM,4,一次免疫応答ではIgMが最初に増加する。
98,第9章：免疫異常・アレルギー,Th1が関与するアレルギーはどれか。,Ⅰ型,Ⅱ型,Ⅲ型,Ⅳ型,4,Th1は遅延型過敏反応（Ⅳ型）に関与する。
99,第9章：免疫異常・アレルギー,HIV感染で最も障害される細胞はどれか。,B細胞,NK細胞,CD4T細胞,キラーT細胞,3,CD4陽性T細胞が主要な標的。
100,第9章：免疫異常・アレルギー,全身性疾患はどれか。,白内障,橋本病,グッドパスチャー症候群,アミロイドーシス,4,アミロイドーシスは全身臓器に沈着する疾患。
101,第10章：先天性異常,奇形が起こりやすい妊娠時期はどれか。,約3週〜10週期,約10週〜12週期,約12週〜16週期,約16週〜22週期,1,器官形成期である妊娠3〜10週は奇形が最も起こりやすい。
102,第10章：先天性異常,ターナー症候群を表す染色体異常はどれか。,21トリソミー,45X0,47XXY,18トリソミー,2,ターナー症候群はX染色体が1本欠損した45X0。
103,第10章：先天性異常,アザラシ肢症の原因はどれか。,風疹,放射線,サリドマイド,有機水銀,3,サリドマイドの催奇形性により四肢形成障害が生じる。
104,第10章：先天性異常,伴性劣性遺伝によりみられる疾患はどれか。,マルファン症候群,ウィルソン病,糖原病,血友病,4,血友病はX染色体上の遺伝子異常による伴性劣性遺伝。
105,第10章：先天性異常,先天性代謝異常でない疾患はどれか。,ガラクトース血症,ハンチントン舞踏病,フェニルケトン尿症,ニーマン・ピック病,2,ハンチントン舞踏病は遺伝性神経変性疾患で代謝異常ではない。
106,第10章：先天性異常,常染色体優性遺伝で症状が現れる子どもの確率はどれか。,15％,25％,50％,75％,3,常染色体優性遺伝では親が患者の場合50％で発症する。
107,第10章：先天性異常,猫なき症候群でみられる染色体異常はどれか。,13トリソミー,47XXX,第5染色体短腕欠損,第22染色体長腕欠損,3,第5染色体短腕欠損により特徴的な高い泣き声がみられる。
108,第10章：先天性異常,胎児の異常と原因との組み合わせで正しいのはどれか。,ターナー症候群―常染色体異常,胎児性水俣病―無機水銀,クラインフェルター症候群―ウイルス感染,アザラシ肢症―サリドマイド,4,アザラシ肢症はサリドマイドによる催奇形性で発症する。 
109,第10章：先天性異常,疾患と染色体異常との組み合わせで正しいのはどれか。,クラインフェルター症候群―XO,ターナー症候群―XXY,慢性骨髄性白血病―フィラデルフィア染色体,ダウン症候群―G22トリソミー,3,慢性骨髄性白血病はフィラデルフィア染色体が特徴。 
110,第10章：先天性異常,遺伝する疾患はどれか。,ダウン症候群,進行性筋ジストロフィー,猫鳴き症候群,アザラシ肢症,2,進行性筋ジストロフィーは遺伝性疾患である。 
111,第10章：先天性異常,常染色体優性遺伝について誤っているのはどれか。,子供に疾患が出現する確率は50%,どの世代にも患者が出現する,男女同数に発症する,保因者がみられる,4,優性遺伝では保因者という概念はなく発現する。 
112,第10章：先天性異常,染色体核型が45Xとして表現される疾患はどれか。,ターナー症候群,クラインフェルター症候群,ダウン症候群,猫鳴き症候群,1,45Xはターナー症候群の特徴的核型。 
113,第10章：先天性異常,クラインフェルター症候群の性染色体はどれか。,X,XXX,XXY,XYY,3,クラインフェルター症候群はXXYで男性に発症する。 
114,第10章：先天性異常,常染色体劣性遺伝で両親が保因者の場合、患児が出生する確率はどれか。,1/2,1/4,1/8,1/16,2,常染色体劣性遺伝では25%で発症する。  
